site_id,lat,lon,state,region,n_cells,operators,radio_mix,in_electrified,dist_to_grid_km,grid_line_source,dist_to_road_km,slope_deg,terrain_distance_km,pvout_kwh_kwp_day,displaced_fraction,displaced_litres,avoided_tco2e,delivered_cost_per_litre_usd,annual_savings_usd,capex_usd,payback_years,population_served,facilities_served,ookla_avg_d_kbps,ookla_tests,ookla_devices,predicted_d_kbps,residual_kbps,confidence_tier,rank_carbon_per_1k,rank_payback,rank_people_per_tonne,rank_combined,top_factors
MY-00097,3.73927,101.70457,Kelantan,Peninsular,5,2,"GSM,LTE",False,8.81,osm,2.73,4.0,2.98,3.705,0.64,8323.0,21.89,1.185,9867.0,44084.0,4.47,1527,1,13227.0,35,12,11276.0,1951.0,strong,0.4965,4.47,69.8,53.5,pvout:+0.33|dist_road:+0.12|population:+0.17|slope:-0.00
MY-00099,5.77528,115.89861,Sabah,Sabah,3,2,LTE,False,19.6,predicted,1.9,4.4,2.09,3.842,0.647,8413.0,22.13,1.115,9383.0,43463.0,4.63,349,0,9310.0,38,16,10722.0,-1412.0,thin,0.5091,4.63,15.8,40.0,pvout:+0.06|dist_road:+0.31|population:+0.19|slope:+0.03
MY-00100,5.87766,117.8355,Sabah,Sabah,5,2,GSM,False,13.82,predicted,26.79,6.6,30.71,4.37,0.673,8755.0,23.03,3.379,29584.0,63499.0,2.15,84,0,9314.0,24,11,8622.0,692.0,thin,0.3626,2.15,3.6,35.4,pvout:+0.33|dist_road:+0.22|population:+0.30|slope:-0.19
MY-00101,4.2801,109.9895,Sarawak,Sarawak,1,1,LTE,False,19.72,predicted,10.39,13.0,13.39,3.775,0.644,8368.0,22.01,2.009,16814.0,51375.0,3.06,163,0,8842.0,25,11,9195.0,-354.0,thin,0.4284,3.06,7.4,35.4,pvout:+0.08|dist_road:+0.26|population:-0.05|slope:-0.04
MY-00102,5.09328,103.5148,Kedah,Peninsular,2,1,GSM,False,7.72,osm,2.75,6.8,3.16,3.954,0.653,8485.0,22.32,1.2,10182.0,44213.0,4.34,2018,1,12543.0,25,8,11130.0,1413.0,strong,0.5047,4.34,90.4,59.3,pvout:+0.19|dist_road:+0.15|population:+0.25|slope:-0.20
MY-00103,4.71992,119.18518,Sabah,Sabah,7,1,"GSM,LTE",False,24.43,predicted,28.78,5.4,32.26,4.082,0.659,8568.0,22.53,3.501,29997.0,64579.0,2.15,93,0,,0,0,,,unknown,0.3489,2.15,4.1,34.8,pvout:+0.12|dist_road:+0.25|population:+0.19|slope:+0.04
MY-00105,4.69532,109.82476,Sarawak,Sarawak,3,1,"GSM,LTE",False,21.64,predicted,14.22,5.4,15.92,3.878,0.649,8436.0,22.19,2.209,18636.0,53144.0,2.85,149,0,,0,0,,,unknown,0.4175,2.85,6.7,35.6,pvout:+0.13|dist_road:+0.31|population:+0.10|slope:+0.04
MY-00106,5.82694,103.72104,Perak,Peninsular,5,3,GSM,False,16.4,osm,4.12,2.9,4.38,3.82,0.646,8398.0,22.09,1.297,10890.0,45069.0,4.14,10300,2,10082.0,34,15,12024.0,-1943.0,strong,0.4901,4.14,466.3,64.6,pvout:+0.07|dist_road:+0.16|population:+0.06|slope:-0.05
MY-00107,5.94779,101.06511,Kelantan,Peninsular,1,3,"GSM,LTE",False,9.57,osm,4.6,1.5,4.75,3.746,0.642,8350.0,21.96,1.326,11072.0,45328.0,4.09,17415,6,,0,0,,,unknown,0.4845,4.09,793.0,64.4,pvout:+0.08|dist_road:+0.21|population:+0.13|slope:-0.12
MY-00108,3.16448,101.15822,Johor,Peninsular,8,1,GSM,False,2.94,predicted,5.68,1.7,5.89,3.768,0.643,8364.0,22.0,1.416,11843.0,46124.0,3.89,693,0,9139.0,37,8,11024.0,-1884.0,thin,0.4769,3.89,31.5,46.1,pvout:+0.23|dist_road:+0.14|population:+0.24|slope:-0.04
MY-00109,5.69524,116.22365,Sabah,Sabah,5,2,"GSM,UMTS",False,5.45,predicted,28.4,13.6,36.97,4.234,0.667,8667.0,22.79,3.874,33574.0,67879.0,2.02,778,0,,0,0,,,unknown,0.3358,2.02,34.1,49.0,pvout:+0.24|dist_road:+0.33|population:+0.13|slope:-0.15
MY-00110,1.72553,113.39164,Sarawak,Sarawak,3,1,LTE,False,14.12,predicted,17.8,8.3,21.07,3.72,0.641,8333.0,21.92,2.616,21801.0,56747.0,2.6,230,1,,0,0,,,unknown,0.3862,2.6,10.5,36.5,pvout:+0.27|dist_road:+0.34|population:-0.19|slope:-0.03
MY-00111,4.16042,103.8968,Terengganu,Peninsular,8,3,"GSM,LTE",False,11.06,osm,7.18,2.3,7.55,4.07,0.658,8560.0,22.51,1.547,13245.0,47286.0,3.57,1466,1,18223.0,26,5,11165.0,7057.0,strong,0.4761,3.57,65.1,58.6,pvout:+0.10|dist_road:+0.29|population:+0.12|slope:+0.08
MY-00112,2.69171,99.81506,Pahang,Peninsular,5,2,"GSM,LTE",False,5.55,predicted,8.51,1.2,8.73,3.994,0.655,8511.0,22.38,1.64,13961.0,48109.0,3.45,12130,3,17991.0,34,12,12001.0,5990.0,thin,0.4653,3.45,541.9,67.7,pvout:+0.28|dist_road:+0.06|population:+0.06|slope:+0.07
MY-00113,4.71125,111.56629,Sarawak,Sarawak,6,1,"GSM,LTE",False,15.09,predicted,3.47,3.4,3.73,3.481,0.629,8178.0,21.51,1.245,10183.0,44613.0,4.38,377,0,16228.0,27,11,10762.0,5467.0,thin,0.4821,4.38,17.5,35.7,pvout:+0.13|dist_road:+0.07|population:+0.16|slope:-0.07
MY-00116,0.97323,113.40166,Sarawak,Sarawak,1,3,"GSM,UMTS",False,15.84,osm,8.64,3.2,9.26,4.088,0.659,8572.0,22.55,1.682,14423.0,48483.0,3.36,1893,0,,0,0,,,unknown,0.465,3.36,84.0,61.0,pvout:+0.07|dist_road:+0.13|population:-0.04|slope:-0.02
MY-00117,4.69235,110.14532,Sarawak,Sarawak,5,2,LTE,False,23.25,predicted,5.15,7.2,5.97,3.748,0.642,8351.0,21.96,1.422,11878.0,46181.0,3.89,23,0,10697.0,29,5,9280.0,1416.0,thin,0.4756,3.89,1.0,31.9,pvout:+0.22|dist_road:+0.20|population:+0.20|slope:-0.15
MY-00118,2.23852,101.92564,Kedah,Peninsular,7,3,LTE,False,10.91,predicted,1.95,4.8,2.15,3.903,0.65,8452.0,22.23,1.12,9468.0,43507.0,4.6,1283,0,14064.0,31,14,11181.0,2883.0,thin,0.5109,4.6,57.7,54.1,pvout:+0.29|dist_road:+0.16|population:+0.01|slope:-0.06
MY-00121,4.02838,114.68235,Sarawak,Sarawak,1,2,"GSM,LTE",False,5.08,predicted,15.66,2.8,16.64,4.178,0.664,8631.0,22.7,2.266,19556.0,53647.0,2.74,1427,0,6531.0,27,5,10646.0,-4115.0,thin,0.4231,2.74,62.9,56.8,pvout:+0.29|dist_road:+0.33|population:-0.07|slope:-0.21
MY-00122,6.2881,103.01261,Pahang,Peninsular,6,1,"GSM,LTE",False,8.15,osm,10.85,1.0,11.1,3.658,0.638,8293.0,21.81,1.828,15156.0,49768.0,3.28,6647,2,1286.0,20,4,11657.0,-10371.0,thin,0.4382,3.28,304.8,63.1,pvout:+0.20|dist_road:+0.21|population:-0.09|slope:+0.06
MY-00123,6.01754,100.48428,Johor,Peninsular,6,2,GSM,True,3.31,predicted,1.19,6.4,1.36,3.718,0.641,8332.0,21.91,1.058,8812.0,42953.0,4.87,486,0,,0,0,,,unknown,0.5101,4.87,22.2,42.5,pvout:+0.33|dist_road:+0.20|population:+0.03|slope:-0.24
MY-00124,5.44227,102.90799,Johor,Peninsular,5,3,GSM,False,5.75,osm,4.92,3.5,5.3,4.036,0.657,8539.0,22.46,1.369,11691.0,45710.0,3.91,16211,3,400.0,30,12,12098.0,-11698.0,strong,0.4913,3.91,721.9,68.6,pvout:+0.24|dist_road:+0.23|population:+0.25|slope:-0.07
MY-00126,4.09184,101.50832,Kedah,Peninsular,5,2,LTE,False,8.44,osm,2.79,4.4,3.06,3.17,0.613,7975.0,20.98,1.192,9508.0,44144.0,4.64,7249,2,25135.0,33,11,11831.0,13304.0,strong,0.4752,4.64,345.6,56.1,pvout:+0.11|dist_road:+0.10|population:-0.12|slope:+0.08
MY-00127,3.95116,102.66983,Pahang,Peninsular,6,1,"GSM,LTE",False,7.21,predicted,5.08,5.7,5.73,4.505,0.68,8843.0,23.26,1.403,12406.0,46009.0,3.71,2321,1,9178.0,30,9,11154.0,-1976.0,thin,0.5055,3.71,99.8,68.3,pvout:+0.33|dist_road:+0.30|population:+0.22|slope:-0.22
MY-00129,4.6142,111.45693,Sarawak,Sarawak,2,3,"GSM,LTE",False,9.79,predicted,26.69,6.9,30.75,4.109,0.66,8586.0,22.58,3.382,29039.0,63527.0,2.19,399,0,,0,0,,,unknown,0.3555,2.19,17.7,42.2,pvout:+0.30|dist_road:+0.26|population:-0.09|slope:-0.08
MY-00130,4.19015,101.91629,Terengganu,Peninsular,1,3,LTE,False,10.65,osm,2.96,3.5,3.18,3.857,0.648,8422.0,22.15,1.202,10121.0,44228.0,4.37,1932,1,,0,0,,,unknown,0.5008,4.37,87.2,57.6,pvout:+0.28|dist_road:+0.32|population:-0.14|slope:+0.06
MY-00131,6.32225,118.72831,Sabah,Sabah,8,1,LTE,False,8.67,osm,32.28,14.5,42.72,3.343,0.622,8088.0,21.27,4.328,35008.0,71902.0,2.05,741,0,12923.0,29,13,8427.0,4495.0,strong,0.2958,2.05,34.8,48.0,pvout:+0.37|dist_road:+0.33|population:-0.20|slope:-0.17
MY-00132,4.87991,111.7364,Sarawak,Sarawak,4,3,GSM,False,11.05,predicted,13.71,4.4,15.04,4.102,0.66,8582.0,22.57,2.14,18362.0,52530.0,2.86,239,0,5309.0,38,13,9934.0,-4626.0,thin,0.4297,2.86,10.6,39.2,pvout:+0.29|dist_road:+0.15|population:-0.17|slope:+0.02
MY-00133,3.65973,102.2068,Terengganu,Peninsular,3,1,"GSM,UMTS",False,4.18,osm,8.08,1.4,8.33,3.73,0.642,8340.0,21.93,1.609,13416.0,47830.0,3.57,1581,1,,0,0,,,unknown,0.4586,3.57,72.1,55.4,pvout:+0.06|dist_road:+0.18|population:+0.27|slope:-0.10
MY-00134,3.15633,112.7156,Sarawak,Sarawak,3,1,"GSM,UMTS",False,13.65,predicted,13.52,7.4,15.75,4.063,0.658,8556.0,22.5,2.195,18783.0,53022.0,2.82,278,2,3765.0,30,13,9730.0,-5965.0,thin,0.4244,2.82,12.4,40.3,pvout:+0.37|dist_road:+0.17|population:-0.03|slope:-0.21
MY-00135,2.08513,100.72877,Kelantan,Peninsular,1,3,"GSM,LTE",False,4.71,predicted,4.91,4.6,5.41,3.834,0.647,8407.0,22.11,1.378,11586.0,45788.0,3.95,592,0,24255.0,40,9,10740.0,13515.0,thin,0.4829,3.95,26.8,45.0,pvout:+0.18|dist_road:+0.15|population:+0.22|slope:+0.07
MY-00136,7.23169,116.12823,Sabah,Sabah,8,1,GSM,False,9.15,osm,8.74,6.5,10.0,3.971,0.654,8496.0,22.35,1.741,14789.0,48998.0,3.31,265,0,12679.0,31,10,10060.0,2619.0,strong,0.4561,3.31,11.9,39.9,pvout:+0.06|dist_road:+0.08|population:+0.12|slope:-0.08
MY-00137,1.22044,111.32184,Sarawak,Sarawak,1,1,GSM,False,13.0,predicted,15.07,15.2,20.16,3.668,0.638,8299.0,21.83,2.545,21118.0,56115.0,2.66,190,1,,0,0,,,unknown,0.389,2.66,8.7,35.1,pvout:+0.15|dist_road:+0.13|population:-0.09|slope:-0.07
MY-00138,6.81911,117.26303,Sabah,Sabah,2,1,LTE,False,18.01,predicted,16.86,4.4,18.5,4.159,0.663,8619.0,22.67,2.413,20797.0,54950.0,2.64,395,0,,0,0,,,unknown,0.4125,2.64,17.4,43.7,pvout:+0.06|dist_road:+0.27|population:-0.05|slope:-0.10
MY-00140,4.38414,109.95166,Sarawak,Sarawak,3,2,GSM,False,13.22,predicted,12.87,1.6,13.32,4.574,0.684,8888.0,23.38,2.003,17806.0,51323.0,2.88,679,1,,0,0,,,unknown,0.4554,2.88,29.0,51.7,pvout:+0.23|dist_road:+0.11|population:+0.24|slope:-0.01
MY-00141,3.4167,111.73949,Sarawak,Sarawak,1,3,"GSM,UMTS",False,9.7,predicted,8.51,2.6,9.0,4.571,0.684,8886.0,23.37,1.662,14767.0,48300.0,3.27,4334,0,,0,0,,,unknown,0.4839,3.27,185.4,71.5,pvout:+0.35|dist_road:+0.19|population:+0.02|slope:-0.17
MY-00142,4.94247,119.26258,Sabah,Sabah,3,3,GSM,False,6.47,osm,34.7,3.3,37.23,4.39,0.674,8768.0,23.06,3.894,34147.0,68061.0,1.99,65,0,,0,0,,,unknown,0.3388,1.99,2.8,34.7,pvout:+0.24|dist_road:+0.23|population:+0.01|slope:-0.20
MY-00143,3.42042,111.07639,Sarawak,Sarawak,7,3,"GSM,UMTS",False,14.66,osm,13.19,5.0,14.65,4.283,0.669,8699.0,22.88,2.108,18339.0,52252.0,2.85,962,0,,0,0,,,unknown,0.4378,2.85,42.0,52.8,pvout:+0.15|dist_road:+0.05|population:-0.04|slope:-0.05
MY-00144,2.61074,111.83834,Sarawak,Sarawak,3,2,"GSM,UMTS",False,7.11,predicted,27.91,1.8,29.03,3.875,0.649,8434.0,22.18,3.246,27375.0,62322.0,2.28,605,1,,0,0,,,unknown,0.3559,2.28,27.3,45.6,pvout:+0.38|dist_road:+0.10|population:-0.17|slope:-0.15
MY-00145,6.3517,100.60468,Johor,Peninsular,7,1,GSM,False,5.7,predicted,4.41,4.3,4.84,4.25,0.667,8677.0,22.82,1.333,11563.0,45386.0,3.92,4517,0,5503.0,26,7,11566.0,-6063.0,thin,0.5028,3.92,197.9,68.2,pvout:+0.10|dist_road:+0.26|population:-0.20|slope:+0.09
MY-00146,3.90656,101.35188,Pahang,Peninsular,3,3,GSM,True,3.2,osm,5.78,1.5,5.97,3.871,0.649,8431.0,22.17,1.422,11993.0,46181.0,3.85,4090,1,16530.0,16,5,11706.0,4824.0,strong,0.4802,3.85,184.4,62.7,pvout:+0.35|dist_road:+0.20|population:+0.26|slope:-0.03
MY-00147,3.24455,110.74237,Sarawak,Sarawak,1,2,LTE,False,8.87,predicted,2.11,21.8,3.13,3.434,0.627,8147.0,21.43,1.198,9757.0,44191.0,4.53,510,0,,0,0,,,unknown,0.4849,4.53,23.8,38.4,pvout:+0.40|dist_road:+0.13|population:+0.30|slope:-0.19
MY-00151,7.19719,117.48159,Sabah,Sabah,8,2,GSM,False,13.68,predicted,16.0,2.4,16.85,3.532,0.632,8211.0,21.6,2.283,18744.0,53797.0,2.87,91,1,12911.0,22,8,9622.0,3289.0,thin,0.4014,2.87,4.2,31.3,pvout:+0.17|dist_road:+0.33|population:-0.01|slope:-0.18
MY-00152,4.28297,101.64397,Kelantan,Peninsular,7,2,LTE,False,4.62,osm,9.15,2.5,9.66,3.724,0.641,8336.0,21.92,1.714,14285.0,48760.0,3.41,4345,0,,0,0,,,unknown,0.4496,3.41,198.2,62.1,pvout:+0.07|dist_road:+0.09|population:-0.02|slope:-0.10
MY-00153,1.52968,111.119,Sarawak,Sarawak,1,3,LTE,False,16.95,osm,19.77,4.9,21.93,3.354,0.623,8095.0,21.29,2.684,21730.0,57351.0,2.64,588,0,12888.0,21,5,9893.0,2995.0,strong,0.3712,2.64,27.6,42.1,pvout:+0.24|dist_road:+0.29|population:-0.19|slope:+0.04
MY-00155,3.93306,113.23632,Sarawak,Sarawak,6,3,"GSM,LTE",False,24.27,predicted,13.47,7.6,15.74,3.419,0.626,8137.0,21.4,2.195,17863.0,53021.0,2.97,476,1,,0,0,,,unknown,0.4036,2.97,22.2,39.8,pvout:+0.25|dist_road:+0.28|population:+0.18|slope:+0.07
MY-00157,1.20757,111.85129,Sarawak,Sarawak,8,1,GSM,False,4.87,predicted,9.63,10.4,11.85,3.647,0.637,8285.0,21.79,1.887,15638.0,50297.0,3.22,2202,0,14351.0,29,6,10461.0,3890.0,thin,0.4332,3.22,101.1,58.1,pvout:+0.08|dist_road:+0.22|population:+0.25|slope:+0.00
MY-00158,3.8921,111.60322,Sarawak,Sarawak,2,3,"GSM,LTE",False,4.04,predicted,7.1,8.7,8.47,3.472,0.629,8172.0,21.49,1.62,13237.0,47928.0,3.62,15267,5,10630.0,24,9,11490.0,-860.0,thin,0.4484,3.62,710.4,61.8,pvout:+0.08|dist_road:+0.23|population:+0.20|slope:-0.15
MY-00160,1.55628,100.08753,Kedah,Peninsular,7,3,"GSM,LTE",False,13.73,osm,11.99,1.6,12.43,3.8,0.645,8385.0,22.05,1.933,16207.0,50699.0,3.13,1135,0,19183.0,24,9,10867.0,8316.0,strong,0.435,3.13,51.5,52.0,pvout:+0.27|dist_road:+0.30|population:+0.06|slope:-0.18
MY-00161,7.18601,117.30039,Sabah,Sabah,5,3,"GSM,LTE",False,20.6,osm,21.38,6.5,24.46,4.151,0.663,8613.0,22.65,2.885,24847.0,59124.0,2.38,1129,0,,0,0,,,unknown,0.3831,2.38,49.8,54.3,pvout:+0.24|dist_road:+0.23|population:+0.00|slope:-0.01
MY-00162,2.01856,102.82801,Kelantan,Peninsular,7,2,GSM,False,7.21,osm,4.0,1.4,4.12,3.52,0.631,8203.0,21.57,1.276,10466.0,44884.0,4.29,3917,0,9766.0,36,16,11800.0,-2034.0,strong,0.4806,4.29,181.6,57.2,pvout:+0.20|dist_road:+0.31|population:+0.20|slope:+0.03
MY-00163,6.16761,103.88276,Johor,Peninsular,8,2,"GSM,LTE",False,3.27,predicted,8.75,2.6,9.26,3.673,0.639,8302.0,21.84,1.682,13967.0,48481.0,3.47,792,2,7423.0,26,9,10819.0,-3396.0,thin,0.4504,3.47,36.3,46.7,pvout:+0.23|dist_road:+0.11|population:+0.16|slope:-0.23
MY-00164,2.83712,114.07679,Sarawak,Sarawak,6,3,LTE,False,23.68,predicted,20.19,4.8,22.32,3.184,0.614,7984.0,21.0,2.715,21681.0,57626.0,2.66,170,0,14745.0,33,12,9415.0,5329.0,thin,0.3644,2.66,8.1,31.0,pvout:+0.23|dist_road:+0.07|population:+0.06|slope:-0.01
MY-00166,5.81021,118.51053,Sabah,Sabah,4,2,"GSM,LTE",False,9.12,osm,0.3,1.8,0.31,4.439,0.677,8801.0,23.15,0.975,8578.0,42219.0,4.92,1349,0,10707.0,20,5,11558.0,-850.0,strong,0.5482,4.92,58.3,55.4,pvout:+0.20|dist_road:+0.18|population:-0.14|slope:-0.14
MY-00167,6.18388,116.65665,Sabah,Sabah,3,1,LTE,False,21.06,predicted,11.61,0.2,11.66,4.525,0.681,8856.0,23.29,1.872,16582.0,50164.0,3.03,120,0,,0,0,,,unknown,0.4643,3.03,5.2,40.8,pvout:+0.21|dist_road:+0.31|population:+0.25|slope:+0.08
MY-00168,4.56227,101.75933,Terengganu,Peninsular,7,2,GSM,False,7.61,osm,3.61,2.1,3.78,3.928,0.651,8468.0,22.27,1.249,10574.0,44644.0,4.22,971,0,12987.0,37,10,11231.0,1757.0,strong,0.4989,4.22,43.6,50.4,pvout:+0.09|dist_road:+0.14|population:+0.03|slope:-0.03
MY-00169,5.57284,116.8824,Sabah,Sabah,2,1,"GSM,LTE",False,26.41,predicted,3.76,12.1,4.77,3.653,0.638,8289.0,21.8,1.327,11003.0,45340.0,4.12,1067,1,,0,0,,,unknown,0.4808,4.12,48.9,48.5,pvout:+0.30|dist_road:+0.29|population:+0.05|slope:-0.06
MY-00170,3.81807,101.76917,Kelantan,Peninsular,4,1,"GSM,UMTS",True,4.74,osm,8.18,3.0,8.73,3.81,0.646,8392.0,22.07,1.64,13765.0,48109.0,3.5,2083,0,17443.0,36,10,11183.0,6259.0,strong,0.4588,3.5,94.4,59.1,pvout:+0.39|dist_road:+0.12|population:+0.20|slope:-0.00
MY-00171,2.9903,111.79743,Sarawak,Sarawak,5,3,GSM,False,8.22,predicted,11.57,11.5,14.51,4.162,0.663,8620.0,22.67,2.098,18085.0,52160.0,2.88,2480,0,,0,0,,,unknown,0.4347,2.88,109.4,62.2,pvout:+0.10|dist_road:+0.33|population:+0.23|slope:+0.02
MY-00175,2.37364,104.46901,Terengganu,Peninsular,3,1,GSM,False,11.01,osm,3.74,1.5,3.86,3.729,0.641,8339.0,21.93,1.255,10467.0,44701.0,4.27,262,0,14370.0,33,6,10780.0,3590.0,strong,0.4906,4.27,11.9,35.7,pvout:+0.09|dist_road:+0.09|population:+0.14|slope:-0.21
MY-00176,6.54074,104.3018,Perak,Peninsular,8,3,"LTE,NR",False,7.19,osm,5.36,4.2,5.86,3.742,0.642,8347.0,21.95,1.413,11798.0,46101.0,3.91,1883,0,16414.0,24,8,11191.0,5223.0,strong,0.4762,3.91,85.8,56.7,pvout:+0.09|dist_road:+0.17|population:-0.20|slope:+0.00
MY-00177,4.40612,118.23734,Sabah,Sabah,2,3,LTE,False,11.14,predicted,22.89,8.4,27.18,3.988,0.654,8507.0,22.37,3.099,26368.0,61025.0,2.31,193,0,14282.0,32,9,8983.0,5299.0,thin,0.3666,2.31,8.6,37.3,pvout:+0.24|dist_road:+0.07|population:+0.07|slope:-0.23
MY-00178,4.32896,118.41731,Sabah,Sabah,4,1,GSM,False,4.04,predicted,8.9,7.8,10.44,3.607,0.635,8260.0,21.72,1.776,14668.0,49310.0,3.36,578,0,,0,0,,,unknown,0.4405,3.36,26.6,43.4,pvout:+0.07|dist_road:+0.20|population:+0.05|slope:-0.13
MY-00179,2.18008,113.00761,Sarawak,Sarawak,7,2,"GSM,LTE",False,12.59,osm,8.32,8.5,9.9,4.036,0.657,8538.0,22.46,1.733,14795.0,48929.0,3.31,559,0,,0,0,,,unknown,0.4589,3.31,24.9,47.4,pvout:+0.27|dist_road:+0.17|population:+0.09|slope:-0.13
MY-00180,4.79129,115.76032,Sabah,Sabah,4,3,GSM,False,18.09,predicted,23.51,2.9,25.03,3.759,0.643,8358.0,21.98,2.929,24482.0,59518.0,2.43,494,0,,0,0,,,unknown,0.3693,2.43,22.5,43.0,pvout:+0.30|dist_road:+0.22|population:-0.12|slope:-0.01
MY-00181,6.84458,116.81317,Sabah,Sabah,6,1,"GSM,LTE",False,14.02,predicted,17.41,4.3,19.06,3.938,0.652,8475.0,22.29,2.457,20823.0,55339.0,2.66,259,0,6966.0,24,8,9772.0,-2806.0,thin,0.4028,2.66,11.6,38.4,pvout:+0.32|dist_road:+0.07|population:+0.10|slope:+0.03
MY-00182,4.87478,115.20398,Sarawak,Sarawak,6,1,"GSM,LTE",False,12.17,predicted,4.4,0.3,4.43,4.315,0.671,8720.0,22.93,1.301,11340.0,45102.0,3.98,927,0,,0,0,,,unknown,0.5085,3.98,40.4,55.2,pvout:+0.09|dist_road:+0.32|population:+0.01|slope:+0.01
MY-00184,4.49583,118.86091,Sabah,Sabah,6,3,"GSM,LTE",False,17.07,osm,27.51,8.5,32.7,4.176,0.664,8629.0,22.7,3.536,30516.0,64891.0,2.13,1814,0,,0,0,,,unknown,0.3497,2.13,79.9,58.0,pvout:+0.36|dist_road:+0.35|population:+0.09|slope:-0.00
MY-00185,3.90581,112.62748,Sarawak,Sarawak,2,1,LTE,False,10.92,predicted,17.62,3.3,18.9,3.362,0.623,8101.0,21.3,2.445,19807.0,55233.0,2.79,502,0,400.0,30,10,10099.0,-9699.0,thin,0.3857,2.79,23.6,39.9,pvout:+0.14|dist_road:+0.14|population:+0.23|slope:-0.11
MY-00186,5.2564,103.08783,Perak,Peninsular,6,3,"GSM,UMTS",False,5.68,predicted,2.71,1.4,2.8,3.759,0.643,8358.0,21.98,1.171,9790.0,43959.0,4.49,761,0,18395.0,19,4,11246.0,7149.0,thin,0.5001,4.49,34.6,46.3,pvout:+0.34|dist_road:+0.07|population:-0.09|slope:-0.19
MY-00187,3.83755,101.14847,Kelantan,Peninsular,2,3,GSM,False,20.99,predicted,4.49,6.1,5.1,3.908,0.65,8455.0,22.24,1.353,11441.0,45568.0,3.98,369,0,5116.0,29,12,10452.0,-5335.0,thin,0.488,3.98,16.6,41.2,pvout:+0.23|dist_road:+0.07|population:-0.03|slope:+0.10
MY-00190,4.77078,115.2111,Sabah,Sabah,7,2,"GSM,LTE",False,10.94,predicted,1.78,2.3,1.87,3.871,0.649,8431.0,22.17,1.098,9255.0,43307.0,4.68,156,1,,0,0,,,unknown,0.512,4.68,7.0,35.6,pvout:+0.33|dist_road:+0.28|population:-0.13|slope:-0.12
MY-00192,3.17521,104.1922,Pahang,Peninsular,1,1,GSM,False,10.25,osm,5.82,5.7,6.55,3.664,0.638,8297.0,21.82,1.468,12182.0,46587.0,3.82,337,0,4475.0,30,13,10382.0,-5907.0,strong,0.4684,3.82,15.4,37.7,pvout:+0.29|dist_road:+0.06|population:+0.02|slope:+0.08
MY-00193,5.86529,116.42491,Sabah,Sabah,1,1,GSM,False,14.31,predicted,13.1,4.8,14.49,3.836,0.647,8408.0,22.11,2.096,17626.0,52145.0,2.96,2470,2,,0,0,,,unknown,0.4241,2.96,111.7,60.0,pvout:+0.08|dist_road:+0.32|population:-0.10|slope:-0.18
MY-00194,1.66055,103.71988,Pahang,Peninsular,2,2,GSM,False,4.07,osm,6.72,5.7,7.57,4.0,0.655,8515.0,22.39,1.548,13184.0,47297.0,3.59,2344,1,7422.0,24,8,11066.0,-3644.0,strong,0.4735,3.59,104.7,62.6,pvout:+0.12|dist_road:+0.33|population:+0.10|slope:+0.01
MY-00195,3.1805,100.26402,Perak,Peninsular,8,3,GSM,False,8.58,osm,1.31,3.7,1.42,3.955,0.653,8486.0,22.32,1.062,9014.0,42993.0,4.77,1912,0,8483.0,24,10,11469.0,-2986.0,strong,0.5191,4.77,85.7,58.6,pvout:+0.18|dist_road:+0.31|population:+0.09|slope:-0.04
MY-00196,1.61671,114.2033,Sarawak,Sarawak,5,2,"GSM,LTE",False,11.12,predicted,17.21,2.2,18.05,4.37,0.673,8755.0,23.03,2.378,20817.0,54636.0,2.62,213,1,10789.0,26,11,9895.0,893.0,thin,0.4215,2.62,9.3,40.9,pvout:+0.31|dist_road:+0.28|population:+0.14|slope:-0.21
MY-00197,4.73145,117.47567,Sabah,Sabah,3,3,LTE,False,33.26,predicted,23.82,14.2,31.32,4.035,0.657,8537.0,22.45,3.427,29259.0,63925.0,2.18,1292,1,,0,0,,,unknown,0.3512,2.18,57.5,54.3,pvout:+0.35|dist_road:+0.13|population:+0.30|slope:-0.12
MY-00198,5.53118,99.98716,Kedah,Peninsular,3,3,GSM,False,4.06,osm,6.46,1.1,6.62,4.298,0.67,8709.0,22.9,1.474,12836.0,46637.0,3.63,1992,0,,0,0,,,unknown,0.4911,3.63,87.0,64.5,pvout:+0.09|dist_road:+0.14|population:+0.09|slope:-0.11
MY-00199,4.63809,103.7066,Kedah,Peninsular,1,2,"GSM,LTE",False,4.37,osm,5.42,2.5,5.72,3.792,0.645,8380.0,22.04,1.402,11752.0,46005.0,3.91,1006,0,5948.0,24,7,11102.0,-5154.0,strong,0.4791,3.91,45.6,50.0,pvout:+0.34|dist_road:+0.25|population:-0.09|slope:-0.06
MY-00201,5.91528,116.31539,Sabah,Sabah,7,2,GSM,False,7.2,osm,6.49,4.2,7.09,3.832,0.647,8406.0,22.11,1.51,12696.0,46960.0,3.7,111,0,,0,0,,,unknown,0.4708,3.7,5.0,34.5,pvout:+0.33|dist_road:+0.32|population:-0.00|slope:+0.07
MY-00202,1.80028,109.94057,Sarawak,Sarawak,5,3,"GSM,LTE",False,19.03,osm,13.35,0.8,13.59,3.552,0.633,8224.0,21.63,2.025,16655.0,51516.0,3.09,117,0,,0,0,,,unknown,0.4198,3.09,5.4,32.6,pvout:+0.06|dist_road:+0.25|population:+0.19|slope:-0.10
